cpuName,price,cpuMark,cpuValue,threadMark,threadValue,TDP,powerPerf,cores,testDate,socket,category
AMD Athlon II X4 645,28.85,2298,79.64,1264,43.82,95.0,24.19,4,2010,AM3,Desktop
Intel Core i5-2540M @ 2.60GHz,47.0,2297,48.86,1380,29.37,35.0,65.62,2,2010,BGA1023,Laptop
Intel Core2 Quad Q9550 @ 2.83GHz,32.95,2291,69.52,1223,37.12,95.0,24.11,4,2008,LGA775,Desktop
Intel Core i3-3240 @ 3.40GHz,42.17,2287,54.22,1805,42.8,55.0,41.57,2,2012,LGA1155,Desktop
Intel Pentium 5405U @ 2.30GHz,161.0,2286,14.2,1340,8.32,15.0,152.37,2,2019,FCBGA1528,Laptop
Intel Xeon X3363 @ 2.83GHz,87.6,2283,26.07,1240,14.16,80.0,28.54,4,2013,LGA771,Server
Intel Pentium 4417U @ 2.30GHz,161.0,2276,14.13,1327,8.24,15.0,151.7,2,2019,FCBGA1356,Laptop
Intel Xeon L3360 @ 2.83GHz,89.23,2273,25.47,1226,13.74,65.0,34.97,4,2012,LGA775,Server
Intel Celeron G3930 @ 2.90GHz,179.88,2270,12.62,1794,9.97,51.0,44.51,2,2017,FCLGA1151,Desktop
AMD Phenom II X4 840T,58.02,2269,39.1,1274,21.96,95.0,23.88,4,2010,AM2+/AM3,Unknown
Intel Core i5-3427U @ 1.80GHz,420.05,2269,5.4,1369,3.26,17.0,133.46,2,2012,BGA1023,Laptop
Intel Core2 Extreme Q6850 @ 3.00GHz,1495.95,2268,1.52,1230,0.82,130.0,17.44,4,2008,LGA775,Desktop
Intel Core2 Extreme Q6800 @ 2.93GHz,1125.0,2267,2.02,1202,1.07,75.0,30.23,4,2008,LGA775,Desktop
AMD Phenom II X4 945,27.5,2261,82.23,1226,44.6,125.0,18.09,4,2009,AM3,Desktop
Intel Xeon L5430 @ 2.66GHz,227.0,2260,9.96,1154,5.08,50.0,45.21,4,2014,LGA771,Server
Intel Xeon X3430 @ 2.40GHz,71.91,2253,31.32,991,13.78,95.0,23.71,4,2009,LGA1156,Server
Intel Core i5-2520M @ 2.50GHz,42.1,2252,53.5,1375,32.66,35.0,64.35,2,2011,PGA988B,Laptop
AMD A8-3850 APU,68.02,2244,32.99,1207,17.74,100.0,22.44,4,2011,FM1,Desktop
Intel Celeron J3455 @ 1.50GHz,349.0,2237,6.41,806,2.31,10.0,223.66,4,2016,FCBGA1296,Desktop
Intel Xeon X3353 @ 2.66GHz,73.5,2229,30.33,1173,15.96,80.0,27.87,4,2014,LGA775,Server
AMD Phenom II X4 940,870.0,2228,2.56,1210,1.39,125.0,17.83,4,2009,AM2+,Desktop
Intel Core i3-5020U @ 2.20GHz,459.0,2226,4.85,1279,2.79,15.0,148.41,2,2015,FCBGA1168,Laptop
Intel Core i3-3225 @ 3.30GHz,200.0,2222,11.11,1688,8.44,55.0,40.4,2,2012,LGA1155,Desktop
Intel Celeron G3930TE @ 2.70GHz,42.0,2218,52.82,1706,40.61,35.0,63.38,2,2019,FCLGA1151,Desktop
Intel Xeon X5472 @ 3.00GHz,225.0,2218,9.86,1259,5.6,120.0,18.48,4,2009,LGA771,Server
Intel Core i5-650 @ 3.20GHz,33.98,2215,65.19,1386,40.78,73.0,30.34,2,2010,LGA1156,Desktop
Intel Celeron G3900 @ 2.80GHz,77.95,2212,28.38,1718,22.05,51.0,43.38,2,2016,FCLGA1151,Desktop
Intel Xeon E5430 @ 2.66GHz,229.95,2210,9.61,1156,5.03,80.0,27.63,4,2009,LGA771,Server
Intel Celeron G4930T @ 3.00GHz,42.0,2209,52.6,1742,41.48,35.0,63.12,2,2020,FCLGA1151,Desktop
Intel Celeron N6211 @ 1.20GHz,54.0,2207,40.88,1582,29.29,6.5,339.59,2,2021,FCBGA1493,Mobile/Embedded
Intel Core i3-3220 @ 3.30GHz,39.94,2203,55.15,1725,43.18,55.0,40.05,2,2012,LGA1155,Desktop
AMD Phenom II X4 960T,28.88,2196,76.04,1290,44.66,95.0,23.12,4,2011,AM3,Desktop
Intel Core i5-4250U @ 1.30GHz,349.0,2196,6.29,1359,3.89,15.0,146.37,2,2013,BGA1168,Laptop
Intel Core2 Quad Q9500 @ 2.83GHz,49.01,2192,44.73,1217,24.83,95.0,23.08,4,2010,LGA775,Desktop
Intel Pentium G4400TE @ 2.40GHz,64.0,2190,34.23,1481,23.13,35.0,62.58,2,2018,FCLGA1151,Laptop
AMD Athlon II X4 638 Quad-Core,62.85,2183,34.73,1165,18.54,65.0,33.58,4,2015,FM1,Desktop
AMD Phenom II X4 925,21.0,2173,103.46,1156,55.05,95.0,22.87,4,2009,AM3,Desktop
AMD Athlon II X4 640,19.99,2171,108.6,1203,60.19,95.0,22.85,4,2010,AM3,Desktop
Intel Core i5-8200Y @ 1.30GHz,291.0,2169,7.45,1582,5.44,5.0,433.81,2,2018,FCBGA1515,Laptop
Intel Core i3-5010U @ 2.10GHz,299.86,2166,7.22,1241,4.14,15.0,144.37,2,2015,FCBGA1168,Laptop
AMD A8-3820 APU,44.95,2165,48.15,1144,25.46,65.0,33.3,4,2012,FM1,Desktop
Intel Pentium G3460 @ 3.50GHz,65.41,2165,33.09,1954,29.88,53.0,40.84,2,2014,LGA1150,Desktop
Intel Xeon L5520 @ 2.27GHz,49.0,2163,44.13,969,19.78,60.0,36.04,4,2010,LGA1366,Server
Intel Xeon X3350 @ 2.66GHz,59.99,2158,35.97,1156,19.28,95.0,22.71,4,2008,LGA775,Server
AMD Athlon II X4 641 Quad-Core,12.33,2143,173.83,1192,96.66,100.0,21.43,4,2012,FM1,Desktop
Intel Pentium N4200 @ 1.10GHz,228.71,2140,9.36,857,3.75,6.0,356.7,4,2016,FCBGA1296,Laptop
Intel Pentium G3440 @ 3.30GHz,59.0,2129,36.09,1895,32.13,53.0,40.18,2,2014,LGA1150,Desktop
Intel Pentium G3430 @ 3.30GHz,57.99,2125,36.64,1915,33.02,54.0,39.34,2,2013,FCLGA1150,Desktop
Intel Core i3-3210 @ 3.20GHz,70.0,2112,30.17,1695,24.22,55.0,38.4,2,2013,LGA1155,Desktop
Intel Celeron G3930T @ 2.70GHz,97.17,2109,21.7,1650,16.98,35.0,60.26,2,2018,FCLGA1151,Desktop
Intel Core2 Quad Q9450 @ 2.66GHz,35.7,2109,59.06,1126,31.55,95.0,22.2,4,2008,LGA775,Desktop
AMD Athlon II X4 635,19.97,2108,105.55,1141,57.12,95.0,22.19,4,2010,AM3,Desktop
AMD Phenom II X4 820,69.95,2103,30.07,1138,16.27,95.0,22.14,4,2009,AM3,Desktop
AMD Athlon II X4 630,48.04,2093,43.58,1138,23.69,95.0,22.04,4,2009,AM3,Desktop
Intel Core i3-2125 @ 3.30GHz,152.0,2093,13.77,1550,10.2,65.0,32.19,2,2011,LGA1155,Desktop
Intel Pentium G2140 @ 3.30GHz,45.0,2092,46.48,1842,40.93,55.0,38.03,2,2014,LGA1155,Desktop
Intel Pentium G3258 @ 3.20GHz,32.66,2091,64.02,1863,57.06,53.0,39.45,2,2014,FCLGA1150,Desktop
Intel Pentium G3450 @ 3.40GHz,57.97,2091,36.06,1836,31.67,53.0,39.44,2,2014,FCLGA1150,Desktop
AMD Athlon II X4 631 Quad-Core,9.96,2085,209.34,1118,112.22,100.0,20.85,4,2011,FM1,Desktop
Intel Celeron G3900T @ 2.60GHz,112.46,2085,18.54,1549,13.77,35.0,59.58,2,2016,unknown,Desktop
AMD Opteron 2384,1299.0,2074,1.6,1074,0.83,75.0,27.66,4,2009,F (1207),Server
Intel Core M-5Y71 @ 1.20GHz,281.0,2069,7.36,1334,4.75,4.5,459.8,2,2015,FCBGA1234,Laptop
Intel Core2 Quad Q9400 @ 2.66GHz,38.01,2068,54.42,1141,30.01,95.0,21.77,4,2008,LGA775,Desktop
Intel Core i5-3337U @ 1.80GHz,225.0,2067,9.19,1281,5.69,17.0,121.57,2,2013,BGA1023,Laptop
Intel Xeon E5462 @ 2.80GHz,226.0,2067,9.15,1130,5.0,80.0,25.84,4,2009,LGA771,Server
Intel Core2 Quad Q6700 @ 2.66GHz,99.95,2062,20.63,1077,10.78,105.0,19.64,4,2008,LGA775,Desktop
AMD Opteron 3250 HE,99.0,2061,20.82,1003,10.13,45.0,45.8,2,2019,AM3+,Server
Intel Core i5-2450M @ 2.50GHz,74.02,2060,27.82,1275,17.23,35.0,58.85,2,2011,BGA1023,Laptop
AMD Opteron 4162 EE,19.99,2058,102.97,382,19.1,35.0,58.81,6,2015,F (1207),Server
Intel Atom C2758 @ 2.40GHz,214.86,2056,9.57,333,1.55,20.0,102.78,8,2015,BGA 1283,"Laptop, Mobile/Embedded"
AMD A6-3670 APU,176.59,2055,11.64,1129,6.4,100.0,20.55,4,2012,FM1,Desktop
Intel Xeon X3230 @ 2.66GHz,349.95,2052,5.86,1091,3.12,95.0,21.6,4,2009,LGA775,Server
Intel Xeon L5420 @ 2.50GHz,27.5,2051,74.58,1103,40.09,50.0,41.02,4,2009,LGA771,Server
Intel Pentium G3260 @ 3.30GHz,59.97,2049,34.16,1867,31.13,53.0,38.65,2,2015,LGA1150,Desktop
AMD Phenom II X4 910e,69.9,2044,29.24,1076,15.39,65.0,31.44,4,2010,AM3,Desktop
Intel Core i7-640M @ 2.80GHz,229.95,2042,8.88,1385,6.02,35.0,58.34,2,2010,BGA1288,Laptop
Intel Core m3-6Y30 @ 0.90GHz,281.0,2041,7.26,1229,4.37,4.5,453.53,2,2015,FCBGA1515,Laptop
AMD A6-3650 APU,128.0,2037,15.91,1096,8.56,100.0,20.37,4,2011,FM1,Desktop
Intel Core2 Quad Q8400 @ 2.66GHz,128.88,2036,15.8,1154,8.95,95.0,21.44,4,2009,LGA775,Desktop
Intel Celeron G3900E @ 2.40GHz,107.0,2034,19.01,1499,14.01,35.0,58.12,2,2017,FCBGA1440,Laptop
Intel Core i3-2102 @ 3.10GHz,58.0,2029,34.98,1400,24.15,65.0,31.21,2,2016,FCLGA1155,Desktop
Intel Xeon E7- 2830 @ 2.13GHz,1779.0,2027,1.14,559,0.31,105.0,19.31,4,2018,LGA1567,Server
AMD Phenom II X4 830,19.01,2022,106.38,1083,56.96,95.0,21.29,4,2010,AM2+/AM3,Unknown
Intel Core i7-920XM @ 2.00GHz,398.95,2021,5.07,1016,2.55,55.0,36.75,4,2009,PGA988B,Laptop
Intel Core2 Quad Q9505 @ 2.83GHz,190.0,2020,10.63,1190,6.26,95.0,21.26,4,2009,LGA775,Desktop
Intel Core i3-5005U @ 2.00GHz,308.0,2018,6.55,1150,3.74,15.0,134.54,2,2015,FCBGA1168,Laptop
Intel Core i5-655K @ 3.20GHz,77.99,2017,25.87,1446,18.54,73.0,27.63,2,2010,LGA1156,Desktop
Intel Core i5-2430M @ 2.40GHz,73.02,2007,27.48,1244,17.04,35.0,57.33,2,2011,PGA988B,Laptop
Intel Core i7-620M @ 2.67GHz,112.87,1999,17.71,1285,11.38,35.0,57.13,2,2010,BGA1288,Laptop
AMD Opteron 2427,55.0,1995,36.28,386,7.02,75.0,26.6,6,2011,F (1207),Server
Intel Pentium G3420 @ 3.20GHz,49.95,1990,39.84,1805,36.14,54.0,36.86,2,2013,FCLGA1150,Desktop
AMD Athlon X4 750 Quad Core,94.75,1986,20.96,1338,14.12,65.0,30.55,4,2015,FM2,Desktop
Intel Core i3-2130 @ 3.40GHz,67.15,1986,29.57,1557,23.19,65.0,30.55,2,2011,LGA1155,Desktop
Intel Xeon X3320 @ 2.50GHz,229.5,1986,8.65,1097,4.78,95.0,20.9,4,2009,LGA775,Server
Intel Xeon X5355 @ 2.66GHz,299.95,1979,6.6,1060,3.53,120.0,16.49,4,2009,LGA771,Server
Intel Core i5-3317U @ 1.70GHz,225.0,1972,8.77,1235,5.49,17.0,116.03,2,2012,BGA1023,Laptop
AMD Athlon II X4 615e,59.0,1967,33.34,1037,17.58,45.0,43.71,4,2010,AM3,Desktop
Intel Core2 Quad Q9300 @ 2.50GHz,68.02,1962,28.84,1087,15.99,95.0,20.65,4,2008,LGA775,Desktop
AMD Athlon II X4 605e,19.97,1957,98.01,1005,50.34,45.0,43.49,4,2009,AM3,Desktop
Intel Core i5-2410M @ 2.30GHz,42.12,1954,46.38,1224,29.06,35.0,55.82,2,2010,"FCBGA1023, PPG",Laptop
Intel Core i3-3220T @ 2.80GHz,39.99,1949,48.75,1506,37.66,35.0,55.7,2,2012,LGA1155,Desktop
Intel Xeon E5506 @ 2.13GHz,90.0,1946,21.62,941,10.46,80.0,24.33,4,2009,LGA1366,Server
AMD A8-3800 APU,109.95,1939,17.64,1064,9.67,65.0,29.83,4,2011,FM1,Desktop
Intel Celeron N3450 @ 1.10GHz,185.08,1938,10.47,763,4.12,6.0,322.98,4,2016,FCBGA1296,Laptop
Intel Xeon X6550 @ 2.00GHz,79.0,1936,24.5,390,4.94,130.0,14.89,4,2013,LGA1567,Server
Intel Xeon E5603 @ 1.60GHz,95.19,1935,20.32,712,7.48,80.0,24.18,4,2011,LGA1366,Server
AMD Athlon II X4 620,54.95,1934,35.19,1054,19.18,95.0,20.36,4,2009,AM3,Desktop
AMD A6-7480,37.42,1931,51.61,1638,43.77,65.0,29.71,2,2019,FM2+,Desktop
Intel Xeon E5420 @ 2.50GHz,249.95,1931,7.73,1048,4.19,80.0,24.14,4,2009,LGA771,Server
Intel Pentium G3250 @ 3.20GHz,75.0,1928,25.7,1811,24.15,53.0,36.37,2,2014,LGA1150,Desktop
Intel Xeon E5507 @ 2.27GHz,100.0,1928,19.28,997,9.97,80.0,24.1,4,2010,LGA1366,Server
Intel Xeon X3330 @ 2.66GHz,210.0,1928,9.18,1160,5.52,95.0,20.29,4,2010,LGA775,Server
Intel Core i7-840QM @ 1.87GHz,338.9,1928,5.69,1114,3.29,45.0,42.85,4,2010,PGA988A,Laptop
Intel Celeron G1850 @ 2.90GHz,39.99,1926,48.17,1695,42.4,54.0,35.67,2,2014,FCLGA1150,Desktop
Intel Core i3-2120 @ 3.30GHz,27.44,1926,70.17,1517,55.3,65.0,29.62,2,2011,LGA1155,Desktop
AMD Athlon II X3 460,16.78,1924,114.68,1390,82.86,95.0,20.26,3,2011,AM3,Desktop
AMD Athlon 5370 APU,598.68,1923,3.21,755,1.26,25.0,76.92,4,2016,"AM1,FS1B",Desktop
Intel Xeon E5410 @ 2.33GHz,10.69,1923,179.92,1024,95.78,80.0,24.04,4,2009,LGA771,Server
Intel Xeon L5410 @ 2.33GHz,100.08,1921,19.19,1029,10.28,50.0,38.42,4,2009,LGA771,Server
Intel Pentium G3240 @ 3.10GHz,116.99,1919,16.4,1749,14.95,53.0,36.21,2,2014,FCLGA1150,Desktop
AMD Opteron 3320 EE,548.0,1918,3.5,838,1.53,25.0,76.72,2,2016,AM3+,Server
Intel Core i5-580M @ 2.67GHz,99.95,1914,19.14,1266,12.66,35.0,54.67,2,2010,BGA1288,Laptop
Intel Pentium G3420T @ 2.70GHz,159.99,1912,11.95,1570,9.81,35.0,54.61,2,2014,LGA1150,Desktop
AMD A10-4600M APU,98.99,1908,19.28,1063,10.74,35.0,54.53,2,2012,FS1r2,Laptop
Intel Core i5-4422E @ 1.80GHz,266.0,1907,7.17,1048,3.94,25.0,76.27,2,2017,FCBGA1364,Laptop
AMD A10-5750M APU,98.04,1902,19.4,1097,11.18,35.0,54.35,4,2013,FS1r2,Laptop
AMD Phenom II X4 920,27.89,1899,68.1,1068,38.31,125.0,15.2,4,2009,AM2+,Desktop
AMD Opteron 1385,45.0,1898,42.19,1035,22.99,115.0,16.51,4,2014,"AM2+,AM3",Server
AMD Phenom II X4 905e,53.99,1895,35.11,1029,19.06,65.0,29.16,4,2009,AM3,Desktop
Intel Pentium G2130 @ 3.20GHz,43.64,1895,43.42,1745,39.99,55.0,34.46,2,2013,FCLGA1155,Desktop
AMD Phenom 9950 Quad-Core,97.04,1892,19.49,1041,10.73,125.0,15.13,4,2008,AM2+,Desktop
AMD PRO A6-9500,74.0,1875,25.34,1618,21.87,65.0,28.85,2,2017,AM4,Desktop
AMD Athlon II X4 610e,17.9,1871,104.55,999,55.81,45.0,41.59,4,2010,AM3,Desktop
Intel Core i3-2105 @ 3.10GHz,113.0,1871,16.55,1387,12.27,65.0,28.78,2,2011,LGA1155,Desktop
Intel Pentium G2120 @ 3.10GHz,74.99,1870,24.94,1708,22.77,55.0,34,2,2012,FCLGA1155,Desktop
AMD A6-9500,75.42,1864,24.72,1618,21.45,65.0,28.68,2,2016,AM4,Desktop
AMD Opteron 2378,14.49,1864,128.65,936,64.62,75.0,24.86,4,2009,F (1207),Server
Intel Celeron G3900TE @ 2.30GHz,67.66,1850,27.35,1402,20.72,35.0,52.86,2,2018,FCLGA1151,Laptop
AMD Phenom II X4 810,213.0,1849,8.68,1018,4.78,95.0,19.46,4,2009,AM3,Desktop
Intel Pentium G3220 @ 3.00GHz,64.8,1849,28.53,1695,26.16,54.0,34.24,2,2013,FCLGA1150,Desktop
Intel Core i3-4100E @ 2.40GHz,225.0,1848,8.22,1390,6.18,37.0,49.96,2,2021,FCBGA1364,Mobile/Embedded
Intel Core i3-2310E @ 2.10GHz,225.0,1845,8.2,733,3.26,35.0,52.73,2,2012,FCBGA1023,Laptop
AMD Phenom II X3 B77,22.29,1844,82.71,1310,58.76,95.0,19.41,3,2012,AM2+/AM3,Unknown
AMD Phenom II X4 805,173.99,1844,10.6,999,5.74,95.0,19.42,4,2009,AM3,Desktop
AMD A6-9500E,74.45,1841,24.72,1478,19.85,35.0,52.59,2,2018,AM4,Desktop
Intel Xeon X3323 @ 2.50GHz,19.36,1837,94.86,1059,54.69,80.0,22.96,4,2014,LGA775,Server
AMD Athlon II X3 455,39.99,1832,45.82,1343,33.59,95.0,19.29,3,2010,AM3,Desktop
Intel Core i5-560M @ 2.67GHz,88.92,1832,20.6,1238,13.92,35.0,52.35,2,2010,BGA1288,Laptop
AMD A6-3620 APU,22.49,1830,81.38,987,43.89,65.0,28.16,4,2012,FM1,Desktop
Intel Core M-5Y10c @ 0.80GHz,281.0,1822,6.49,1080,3.84,4.5,404.97,2,2015,FCBGA1234,Laptop
Intel Core i3-2100 @ 3.10GHz,116.19,1819,15.65,1426,12.27,65.0,27.98,2,2011,LGA1155,Desktop
Intel Xeon X3220 @ 2.40GHz,66.14,1819,27.5,942,14.24,105.0,17.32,4,2009,LGA775,Server
AMD A8-6500T APU,59.95,1816,30.29,1048,17.49,45.0,40.35,2,2014,FM2,Desktop
Intel Xeon E5345 @ 2.33GHz,39.99,1814,45.36,947,23.68,80.0,22.68,4,2008,LGA771,Server
Intel Core2 Quad Q8300 @ 2.50GHz,34.3,1814,52.89,1059,30.87,95.0,19.1,4,2009,LGA775,Desktop
AMD Athlon X4 620,64.95,1810,27.87,1033,15.9,95.0,19.06,4,2009,unknown,Unknown
AMD Athlon II X3 445,15.21,1808,118.84,1282,84.28,95.0,19.03,3,2010,AM3,Desktop
AMD Phenom 9750 Quad-Core,48.02,1804,37.56,942,19.63,125.0,14.43,4,2008,AM2+,Desktop
AMD A6-7470K,35.22,1799,51.09,1576,44.74,65.0,27.68,1,2016,FM2+,Desktop
Intel Core2 Quad Q8200 @ 2.33GHz,63.99,1797,28.08,1014,15.85,95.0,18.92,4,2008,LGA775,Desktop
Intel Core i7-740QM @ 1.73GHz,99.95,1782,17.83,1009,10.09,45.0,39.59,4,2010,PGA988A,Laptop
AMD Athlon X3 435,95.49,1781,18.65,1192,12.48,95.0,18.75,3,2009,unknown,Unknown
Intel Core2 Quad Q6600 @ 2.40GHz,95.6,1778,18.6,958,10.02,105.0,16.93,4,2008,LGA775,Desktop
AMD Phenom II X4 910,100.0,1776,17.76,988,9.88,95.0,18.7,4,2009,AM3,Desktop
Intel Core i7-820QM @ 1.73GHz,129.0,1768,13.71,1029,7.98,45.0,39.29,4,2009,PGA988A,Laptop
Intel Core2 Quad Q9100 @ 2.26GHz,385.89,1764,4.57,930,2.41,45.0,39.2,4,2009,PGA478,Laptop
AMD Athlon II X3 450,28.02,1763,62.91,1292,46.12,95.0,18.56,3,2010,AM3,Desktop
Intel Celeron G1840 @ 2.80GHz,69.0,1758,25.48,1612,23.36,53.0,33.17,2,2014,FCLGA1150,Desktop
Intel Atom C3538 @ 2.10GHz,75.0,1756,23.41,669,8.92,15.0,117.06,4,2018,FCBGA1310,Server
Intel Pentium G3260T @ 2.90GHz,49.99,1755,35.1,1568,31.37,35.0,50.13,2,2015,LGA1150,Desktop
Intel Core i5-540M @ 2.53GHz,48.99,1752,35.76,1133,23.13,35.0,50.06,2,2010,BGA1288,Laptop
Intel Core i3-4000M @ 2.40GHz,58.11,1744,30.01,1269,21.83,37.0,47.13,2,2013,FCPGA946,Laptop
AMD Athlon 5350 APU,129.0,1737,13.47,698,5.41,25.0,69.48,4,2014,"AM1,FS1B",Desktop
AMD Phenom 9600B Quad-Core,39.95,1736,43.45,937,23.45,95.0,18.27,4,2009,AM2+,Desktop
AMD Opteron 2356,89.95,1733,19.26,849,9.44,75.0,23.1,4,2009,F (1207),Server
Intel Pentium G3250T @ 2.80GHz,49.99,1726,34.52,1568,31.38,35.0,49.3,2,2015,LGA1150,Desktop
AMD Athlon II X3 440,14.76,1718,116.42,1220,82.65,95.0,18.09,3,2010,AM3,Desktop
AMD Athlon II X4 600e,19.99,1711,85.59,913,45.68,45.0,38.02,4,2009,AM3,Desktop
Intel Pentium G2030 @ 3.00GHz,29.0,1711,59.01,1599,55.14,55.0,31.11,2,2013,FCLGA1155,Desktop
Intel Celeron G1630 @ 2.80GHz,69.99,1707,24.39,1553,22.19,55.0,31.04,2,2013,FCLGA1155,Desktop
AMD Opteron 1356,89.99,1703,18.92,918,10.2,75.0,22.7,4,2009,AM2,Server
AMD Phenom 9650 Quad-Core,39.99,1699,42.5,924,23.1,95.0,17.89,4,2008,AM2+,Desktop
Intel Pentium 4425Y @ 1.70GHz,161.0,1697,10.54,967,6.01,6.0,282.8,2,2020,FCBGA1515,Laptop
Intel Core i3-560 @ 3.33GHz,36.97,1696,45.87,1379,37.3,73.0,23.23,2,2010,LGA1156,Desktop
Intel Atom x6211E @ 1.20GHz,35.0,1695,48.43,1304,37.25,6.0,282.52,2,2021,FCBGA1493,Mobile/Embedded
Intel Celeron 4305U @ 2.20GHz,107.0,1694,15.83,1378,12.88,15.0,112.91,2,2021,FCBGA1528,Mobile/Embedded
Intel Celeron 3965U @ 2.20GHz,107.0,1692,15.82,1356,12.67,15.0,112.82,2,2017,FCBGA1356,Laptop
Intel Pentium G2020 @ 2.90GHz,50.0,1684,33.68,1566,31.33,55.0,30.61,2,2013,FCLGA1155,Desktop
Intel Core i5-520M @ 2.40GHz,28.02,1683,60.07,1083,38.67,35.0,48.09,2,2010,BGA1288,Laptop
AMD Phenom 9850 Quad-Core,129.99,1680,12.92,925,7.12,125.0,13.44,4,2008,AM2+,Desktop
Intel Xeon L5335 @ 2.00GHz,18.79,1678,89.29,827,43.99,50.0,33.56,4,2007,LGA771,Server
Intel Celeron 6305E @ 1.80GHz,107.0,1675,15.66,1083,10.12,15.0,111.68,2,2021,FCBGA1449,Mobile/Embedded
AMD Athlon II X3 435,159.95,1670,10.44,1188,7.43,95.0,17.58,3,2009,AM3,Desktop
Intel Celeron G1820 @ 2.70GHz,62.3,1670,26.81,1520,24.39,53.0,31.51,2,2014,FCLGA1150,Desktop
Intel Xeon E5405 @ 2.00GHz,59.0,1664,28.21,877,14.86,80.0,20.8,4,2009,LGA771,Server
AMD PRO A6-9500E,74.0,1662,22.46,1493,20.18,35.0,47.5,2,2017,AM4,Desktop
Intel Core i7-720QM @ 1.60GHz,99.95,1661,16.62,965,9.65,45.0,36.92,4,2009,PGA988A,Laptop
AMD A6-3600 APU,24.95,1649,66.1,896,35.92,65.0,25.37,4,2011,FM1,Desktop
Intel Core i3-4010U @ 1.70GHz,124.95,1647,13.18,905,7.24,15.0,109.77,2,2013,BGA1168,Laptop
AMD Phenom II N970 Quad-Core,149.99,1647,10.98,902,6.01,35.0,47.05,4,2011,S1,Laptop
Intel Core i3-3120M @ 2.50GHz,129.0,1641,12.72,1270,9.85,35.0,46.89,2,2012,PGA988,Laptop
AMD Phenom 9550 Quad-Core,29.99,1636,54.56,873,29.11,95.0,17.23,4,2008,AM2+,Desktop
Intel Core i3-2100T @ 2.50GHz,49.13,1634,33.26,1183,24.08,35.0,46.69,2,2011,LGA1155,Desktop
AMD A8-4500M APU,69.95,1624,23.22,887,12.68,35.0,46.4,2,2012,FS1r2,Laptop
AMD Opteron 1354,238.01,1620,6.81,864,3.63,75.0,21.6,4,2009,AM2,Server
AMD Phenom 9600 Quad-Core,39.95,1619,40.52,904,22.64,95.0,17.04,4,2008,AM2+,Desktop
Intel Celeron G1820T @ 2.40GHz,42.0,1614,38.43,1396,33.24,35.0,46.11,2,2014,LGA1150,Desktop
Intel Core i3-3110M @ 2.40GHz,69.95,1609,23.0,1255,17.95,35.0,45.96,2,2012,BGA1023,Laptop
Intel Pentium 4415Y @ 1.60GHz,161.0,1600,9.94,899,5.59,6.0,266.6,2,2018,FCBGA1515,Laptop
Intel Xeon X3210 @ 2.13GHz,185.71,1599,8.61,875,4.71,105.0,15.23,4,2008,LGA775,Server
Intel Core i3-550 @ 3.20GHz,18.46,1588,86.01,1342,72.69,73.0,21.75,2,2010,LGA1156,Desktop
AMD A6-7400K APU,69.99,1587,22.68,1422,20.31,65.0,24.42,2,2014,FM2+,Desktop
Intel Celeron J4005 @ 2.00GHz,168.75,1581,9.37,1119,6.63,10.0,158.14,2,2018,FCBGA1090,Desktop
AMD Athlon II X3 425,58.34,1576,27.02,1105,18.95,95.0,16.59,3,2009,AM3,Desktop
Intel Pentium G3220T @ 2.60GHz,69.95,1564,22.36,1447,20.68,35.0,44.68,2,2014,LGA1150,Desktop
AMD A4-6320 APU,69.99,1563,22.34,1550,22.14,65.0,24.05,1,2014,FM2,Desktop
AMD Phenom II X3 B75,49.95,1560,31.23,1161,23.23,95.0,16.42,3,2009,AM3,Desktop
Intel Celeron G1830 @ 2.80GHz,89.0,1560,17.53,1513,17.0,53.0,29.44,2,2014,LGA1150,Desktop
AMD Phenom II N930 Quad-Core,129.95,1558,11.99,825,6.35,35.0,44.5,4,2010,S1,Laptop
AMD Athlon II X3 420e,116.15,1557,13.4,1058,9.11,45.0,34.6,3,2011,AM3,Desktop
AMD Phenom II X3 710,169.0,1554,9.2,1069,6.33,95.0,16.36,3,2009,AM3,Desktop
AMD PRO A4-8350B,28.99,1552,53.53,1365,47.07,65.0,23.87,1,2016,FM2+,Desktop
Intel Xeon E5335 @ 2.00GHz,17.77,1549,87.15,817,45.99,80.0,19.36,4,2009,LGA771,Server
Intel Pentium G2010 @ 2.80GHz,22.97,1541,67.08,1473,64.12,55.0,28.01,2,2013,FCLGA1155,Desktop
AMD Phenom II X3 B73,75.0,1538,20.5,1056,14.08,95.0,16.19,3,2010,AM3,Desktop
AMD A6-6420K APU,149.99,1538,10.26,1557,10.38,65.0,23.67,2,2014,FM2,Desktop
Intel Pentium G2030T @ 2.60GHz,130.5,1535,11.76,1441,11.04,35.0,43.85,2,2014,LGA1155,Desktop
Intel Xeon E5504 @ 2.00GHz,64.0,1529,23.89,838,13.1,80.0,19.11,4,2009,LGA1366,Server
Intel Core i3-540 @ 3.07GHz,179.95,1516,8.43,1264,7.03,73.0,20.77,2,2010,LGA1156,Desktop
AMD Phenom 9500 Quad-Core,29.99,1512,50.42,849,28.31,95.0,15.92,4,2008,AM2+,Desktop
AMD Opteron 2354,285.19,1509,5.29,857,3.0,115.0,13.12,4,2013,F (1207),Server
Intel Celeron G1620T @ 2.40GHz,42.0,1507,35.88,1321,31.44,35.0,43.05,2,2014,LGA1155,Desktop
