cpuName,price,cpuMark,cpuValue,threadMark,threadValue,TDP,powerPerf,cores,testDate,socket,category
Intel Celeron G5925 @ 3.60GHz,53.93,2939,54.49,2282,42.32,58.0,50.67,2,2021,FCLGA1200,Desktop
AMD FX-4300 Quad-Core,25.76,2937,114.01,1489,57.82,95.0,30.92,2,2012,AM3+,Desktop
AMD Opteron 2431,24.99,2936,117.48,570,22.81,75.0,39.14,6,2009,F (1207),Server
AMD A10-5800K APU,46.07,2936,63.73,1495,32.45,100.0,29.36,2,2012,FM2,Desktop
Intel Pentium G4520 @ 3.60GHz,137.99,2926,21.2,2200,15.94,51.0,57.37,2,2015,FCLGA1151,Desktop
Intel Core i7-880 @ 3.07GHz,338.97,2920,8.61,1386,4.09,95.0,30.74,4,2010,LGA1156,Desktop
Intel Celeron J4105 @ 1.50GHz,107.0,2911,27.21,1097,10.25,10.0,291.14,4,2018,FCBGA1090,Desktop
Intel Core i7-3540M @ 3.00GHz,128.02,2911,22.74,1768,13.81,35.0,83.17,2,2013,rPGA988B,Laptop
Intel Pentium G4560T @ 2.90GHz,231.9,2909,12.54,1708,7.36,35.0,83.11,2,2017,FCLGA1151,Desktop
Intel Atom x6425RE @ 1.90GHz,59.0,2903,49.2,1021,17.3,12.0,241.9,4,2022,FCBGA1493,Mobile/Embedded
AMD Athlon X4 830,202.32,2901,14.34,1292,6.39,65.0,44.63,2,2018,FM2+,Desktop
AMD A8-6500B APU,49.95,2898,58.01,1531,30.66,65.0,44.58,2,2014,FM2,Desktop
AMD A10-5800B APU,44.99,2897,64.4,1526,33.92,100.0,28.97,2,2013,FM2,Desktop
AMD PRO A10-9700E,139.0,2896,20.83,1333,9.59,35.0,82.74,2,2016,AM4,Desktop
Intel Core i5-4210M @ 2.60GHz,88.04,2893,32.86,1690,19.2,37.0,78.19,2,2014,FCPGA946,Laptop
Intel Core i7-860 @ 2.80GHz,43.99,2890,65.7,1319,29.98,95.0,30.42,4,2009,LGA1156,Desktop
Intel Xeon W3540 @ 2.93GHz,507.0,2890,5.7,1289,2.54,130.0,22.23,4,2009,LGA1366,Server
Intel Core i7-3520M @ 2.90GHz,122.02,2879,23.59,1746,14.31,35.0,82.24,2,2012,BGA1023,Laptop
Intel Core i7-930 @ 2.80GHz,29.99,2877,95.94,1276,42.54,130.0,22.13,4,2010,LGA1366,Desktop
Intel Core i3-4130T @ 2.90GHz,248.56,2874,11.56,1633,6.57,35.0,82.12,2,2013,LGA1150,Desktop
Intel Xeon E5-2403 v2 @ 1.80GHz,541.0,2873,5.31,991,1.83,80.0,35.91,4,2015,FCLGA1356,Server
AMD Opteron 4184,498.95,2872,5.76,630,1.26,95.0,30.23,6,2011,C32,Server
Intel Core i3-4150T @ 3.00GHz,417.42,2867,6.87,1597,3.83,35.0,81.9,2,2014,FCLGA1150,Desktop
Intel Core i5-3360M @ 2.80GHz,78.02,2846,36.48,1755,22.5,35.0,81.31,2,2012,BGA1023,Laptop
AMD Phenom II X4 980,130.0,2829,21.76,1521,11.7,125.0,22.63,4,2011,AM3,Unknown
AMD A8-6500 APU,43.69,2826,64.68,1497,34.26,65.0,43.47,2,2013,FM2,Desktop
AMD Opteron 6128,269.0,2826,10.5,447,1.66,115.0,24.57,8,2010,G34,Server
AMD Opteron 3350 HE,392.0,2825,7.21,1362,3.47,45.0,62.78,4,2013,unknown,Server
AMD A10-6800B APU,128.02,2824,22.06,1513,11.82,100.0,28.24,2,2014,FM2,Desktop
Intel Xeon X3450 @ 2.67GHz,102.0,2818,27.63,1236,12.12,95.0,29.67,4,2009,LGA1156,Server
Intel Celeron G5905 @ 3.50GHz,47.19,2815,59.64,2189,46.39,58.0,48.53,2,2020,FCLGA1200,Desktop
Intel Xeon X3460 @ 2.80GHz,72.28,2814,38.94,1220,16.88,95.0,29.62,4,2010,LGA1156,Server
AMD A8-5600K APU,69.95,2803,40.08,1417,20.26,100.0,28.03,2,2012,FM2,Desktop
Intel Celeron G5900 @ 3.40GHz,53.99,2790,51.68,2150,39.82,58.0,48.1,2,2020,FCLGA1200,Desktop
AMD Opteron 6172,199.95,2789,13.95,432,2.16,115.0,24.25,12,2010,G34,Server
AMD Athlon X4 750K Quad Core,190.44,2787,14.64,1446,7.59,100.0,27.87,2,2012,FM2,Unknown
Intel Xeon W3520 @ 2.67GHz,59.0,2787,47.23,1245,21.11,130.0,21.44,4,2009,LGA1366,Server
Intel Core2 Extreme X9775 @ 3.20GHz,1805.95,2780,1.54,1451,0.8,150.0,18.53,4,2009,LGA771,Desktop
Intel Core i5-4200M @ 2.50GHz,88.95,2776,31.21,1624,18.26,37.0,75.04,2,2013,PGA946,Laptop
Intel Atom C2750 @ 2.40GHz,232.0,2775,11.96,658,2.83,20.0,138.77,8,2014,FCBGA1283,Server
Intel Xeon E5-2603 v2 @ 1.80GHz,59.0,2751,46.63,977,16.57,80.0,34.39,4,2014,LGA 2011,Server
Intel Core i7-920 @ 2.67GHz,189.88,2741,14.44,1220,6.42,130.0,21.09,4,2008,LGA1366,Desktop
Intel Core i5-5300U @ 2.30GHz,289.99,2740,9.45,1647,5.68,15.0,182.66,2,2015,FCBGA1168,Laptop
Intel Xeon E5540 @ 2.53GHz,71.45,2738,38.33,1200,16.79,80.0,34.23,4,2009,LGA1366,Server
AMD A10-5700 APU,59.95,2735,45.62,1441,24.03,65.0,42.08,2,2012,FM2,Desktop
Intel Pentium G4500 @ 3.50GHz,166.67,2734,16.4,2135,12.81,51.0,53.61,2,2015,FCLGA1151,Desktop
AMD FX-4130 Quad-Core,22.21,2730,122.94,1356,61.06,125.0,21.84,2,2012,AM3+,Desktop
Intel Core i3-7100U @ 2.40GHz,462.0,2721,5.89,1391,3.01,15.0,181.43,2,2016,FCBGA1356,Laptop
Intel Celeron G4950 @ 3.30GHz,1008.66,2714,2.69,2041,2.02,54.0,50.26,2,2021,FCLGA1151,Desktop
Intel Xeon X5470 @ 3.33GHz,179.95,2709,15.05,1454,8.08,120.0,22.57,4,2009,LGA771,Server
AMD A8-5500B APU,49.04,2707,55.2,1393,28.4,65.0,41.65,2,2013,FM2,Desktop
Intel Xeon X5492 @ 3.40GHz,1391.29,2705,1.94,1446,1.04,150.0,18.04,4,2008,LGA771,Server
Intel Xeon E5-2407 @ 2.20GHz,325.03,2699,8.3,920,2.83,80.0,33.74,4,2012,LGA 1356,Server
Intel Xeon E5607 @ 2.27GHz,100.0,2686,26.86,1002,10.02,80.0,33.58,4,2011,LGA1366,Server
Intel Xeon X3440 @ 2.53GHz,50.0,2680,53.61,1149,22.99,95.0,28.21,4,2009,LGA1156,Server
AMD Athlon X4 740 Quad Core,24.99,2655,106.26,1356,54.25,65.0,40.85,2,2012,FM2,Desktop
Intel Celeron G5900T @ 3.20GHz,42.0,2648,63.04,2041,48.6,35.0,75.64,2,2021,FCLGA1200,Desktop
Intel Core i5-3320M @ 2.60GHz,44.04,2646,60.09,1612,36.6,35.0,75.61,2,2012,BGA1023,Laptop
AMD Phenom II X4 970,59.88,2644,44.15,1412,23.58,125.0,21.15,4,2010,AM3,Unknown
Intel Core i3-6100U @ 2.30GHz,529.99,2640,4.98,1347,2.54,15.0,176,2,2015,FCBGA1356,Laptop
Intel Core i5-3340M @ 2.70GHz,69.95,2636,37.69,1630,23.3,35.0,75.32,2,2013,BGA1023,Laptop
Intel Xeon X5482 @ 3.20GHz,99.95,2636,26.37,1394,13.95,150.0,17.57,4,2009,LGA771,Server
Intel Core2 Extreme X9770 @ 3.20GHz,1608.95,2632,1.64,1398,0.87,136.0,19.35,4,2008,LGA775,Desktop
Intel Xeon E5-2609 @ 2.40GHz,71.87,2623,36.5,1081,15.04,80.0,32.79,4,2012,LGA2011,Server
Intel Xeon E5530 @ 2.40GHz,29.99,2614,87.15,1156,38.55,80.0,32.67,4,2009,LGA1366,Server
Intel Core i5-680 @ 3.60GHz,309.19,2603,8.42,1550,5.01,73.0,35.65,2,2010,LGA1156,Desktop
Intel Pentium G4400 @ 3.30GHz,97.41,2599,26.68,2024,20.78,54.0,48.13,2,2015,FCLGA1151,Desktop
Intel Core i5-760 @ 2.80GHz,265.0,2599,9.81,1309,4.94,95.0,27.36,4,2010,LGA1156,Desktop
